time,flux,flux0,scanD,orbit,weights
40339.295983314514,678696180.833,24817.950384396318,0.0,7.0,1.0
40492.223981022835,677915835.893,24789.415433779883,1.0,7.0,1.0
40645.151978731155,678705321.215,24818.284621649127,0.0,7.0,1.0
40798.079976439476,677996863.018,24792.378360675346,1.0,7.0,1.0
40951.00801438093,678794963.599,24821.562583572704,0.0,7.0,1.0
41103.93601208925,677999311.179,24792.46788282082,1.0,7.0,1.0
41256.86400979757,678767032.492,24820.541224019955,0.0,7.0,1.0
41410.656014084816,678040510.995,24793.974440568174,1.0,7.0,1.0
41563.58401179314,678786793.239,24821.263817210332,0.0,7.0,1.0
41716.51200950146,678063907.776,24794.829992973522,1.0,7.0,1.0
41869.44000720978,678812090.233,24822.188854892433,0.0,7.0,1.0
45004.89598363638,676889222.571,24751.8751628768,1.0,8.0,1.0
45157.8239813447,677943210.194,24790.416432552545,0.0,8.0,1.0
45311.61598563194,677341628.698,24768.41834247699,1.0,8.0,1.0
45464.54398334026,678173910.448,24798.852471562535,0.0,8.0,1.0
45617.471981048584,677503625.877,24774.342109347017,1.0,8.0,1.0
45770.399978756905,678373247.736,24806.14165789223,0.0,8.0,1.0
45923.327976465225,677676245.942,24780.654324340278,1.0,8.0,1.0
46076.25601440668,678455233.552,24809.139641336333,0.0,8.0,1.0
46229.184012115,677715865.511,24782.10309703926,1.0,8.0,1.0
46382.11200982332,678520976.14,24811.5436570553,0.0,8.0,1.0
46535.04000753164,677783421.985,24784.573441307028,1.0,8.0,1.0
46687.96800523996,678616014.549,24815.01893595886,0.0,8.0,1.0
46840.896002948284,677727474.207,24782.527593374278,1.0,8.0,1.0
46993.824000656605,678572857.558,24813.44080999966,0.0,8.0,1.0
47147.61600494385,677763886.958,24783.859102042217,1.0,8.0,1.0
47300.54400265217,678647931.998,24816.186064473866,0.0,8.0,1.0
47453.47200036049,677892394.223,24788.558239914033,1.0,8.0,1.0
47606.39999806881,678604099.902,24814.583251883356,0.0,8.0,1.0
50740.992008149624,676662719.687,24743.592609510826,1.0,9.0,0.0
50893.920005857944,677867239.044,24787.638387995066,0.0,9.0,0.0
51046.848003566265,677125769.146,24760.524984885145,1.0,9.0,0.0
51200.64000785351,678050270.422,24794.33131450073,0.0,9.0,0.0
51353.56800556183,677294086.053,24766.67984587413,1.0,9.0,0.0
51506.49600327015,678210420.378,24800.187533784585,0.0,9.0,0.0
51659.42400097847,677466126.199,24772.970854911946,1.0,9.0,0.0
51812.35199868679,678186608.79,24799.31681309063,0.0,9.0,0.0
51965.27999639511,677530140.705,24775.311679685474,1.0,9.0,0.0
52118.20799410343,678294243.743,24803.252711064746,0.0,9.0,0.0
52271.13599181175,677559296.326,24776.377816162792,1.0,9.0,0.0
52424.06398952007,678358802.094,24805.613422672184,0.0,9.0,0.0
52576.99198722839,677621669.283,24778.658614251643,1.0,9.0,0.0
52729.919984936714,678412400.262,24807.57335218363,0.0,9.0,0.0
52882.847982645035,677630155.392,24778.96892663893,1.0,9.0,0.0
53036.63998693228,678415766.516,24807.696446326652,0.0,9.0,0.0
53189.5679846406,677437890.752,24771.93836652831,1.0,9.0,0.0
53342.49598234892,677164800.308,24761.95224124715,0.0,9.0,0.0
56477.951999008656,669743681.739,24490.58346440194,1.0,10.0,0.0
56630.879996716976,670846513.603,24530.91082627024,0.0,10.0,0.0
56784.67200100422,670168437.909,24506.11556528925,1.0,10.0,0.0
56937.59999871254,671099256.316,24540.15289405903,0.0,10.0,0.0
57090.52799642086,670284895.101,24510.374066949615,1.0,10.0,0.0
57243.45599412918,671176767.703,24542.987260615253,0.0,10.0,0.0
57396.3839918375,670432797.341,24515.78242279089,1.0,10.0,0.0
57549.31198954582,671247129.781,24545.56019768204,0.0,10.0,0.0
57702.23998725414,670573065.569,24520.911624960172,1.0,10.0,0.0
57855.16798496246,671337977.093,24548.882220326992,0.0,10.0,0.0
58008.095982670784,670682932.828,24524.92915188862,1.0,10.0,0.0
58161.023980379105,671440419.411,24552.628238703383,0.0,10.0,0.0
